relevance,id,query
4,7555,rambo
3,1370,rambo
3,1369,rambo
3,13258,rambo
4,1368,rambo
1,31362,rambo
1,61410,rambo
0,319074,rambo
0,10296,rambo
0,35868,rambo
0,131457,rambo
0,94794,rambo
0,169869,rambo
0,34561,rambo
0,13763,rambo
0,62414,rambo
0,21989,rambo
0,210577,rambo
0,56949,rambo
0,79401,rambo
0,117942,rambo
0,223195,rambo
0,70,rambo
0,22777,rambo
0,43189,rambo
0,318,rambo
0,39829,rambo
1,208982,rambo
1,250761,rambo
1,801,rambo
1,78999,rambo
1,600,rambo
0,26397,rambo
0,45046,rambo
0,271110,rambo
0,59401,rambo
0,79773,rambo
4,1366,rocky
3,1374,rocky
3,1371,rocky
3,1246,rocky
3,1375,rocky
3,1367,rocky
3,60375,rocky
1,110123,rocky
1,36685,rocky
1,17711,rocky
0,2153,rocky
0,339403,rocky
0,21501,rocky
0,81182,rocky
0,62414,rocky
0,21989,rocky
0,11,rocky
0,12180,rocky
0,140607,rocky
0,1893,rocky
0,330459,rocky
0,152601,rocky
0,17819,rocky
0,198001,rocky
0,170430,rocky
0,18206,rocky
1,47059,rocky
0,18215,rocky
1,70808,rocky
1,351862,rocky
1,154019,rocky
1,70,rocky
0,22777,rocky
0,43189,rocky
0,318,rocky
0,39829,rocky
1,1578,rocky
0,25855,rocky
1,42012,rocky
0,32276,rocky
0,105536,rocky
3,14154,war games
0,365371,war games
0,116059,war games
0,335988,war games
0,354287,war games
0,390054,war games
0,346672,war games
0,369885,war games
0,293767,war games
0,381288,war games
4,860,war games
0,9614,war games
0,125842,war games
0,427760,war games
0,4247,war games
0,30335,war games
0,10207,war games
0,24964,war games
0,91893,war games
0,10951,war games
0,126148,war games
1,10428,war games
1,12699,war games
0,136698,war games
1,1557,war games
1,19433,war games
4,9671,crocodile dundee
4,9396,crocodile dundee
3,9290,crocodile dundee
1,248390,crocodile dundee
1,221737,crocodile dundee
0,13022,crocodile dundee
0,10539,crocodile dundee
1,17043,crocodile dundee
1,78402,crocodile dundee
1,25652,crocodile dundee
0,36068,crocodile dundee
0,77680,crocodile dundee
1,6972,crocodile dundee
1,182848,crocodile dundee
1,259311,crocodile dundee
0,293028,crocodile dundee
0,64586,crocodile dundee
1,40466,crocodile dundee
0,104221,crocodile dundee
0,183894,crocodile dundee
0,3573,crocodile dundee
0,12254,crocodile dundee
0,17813,crocodile dundee
0,9835,crocodile dundee
0,70490,crocodile dundee
0,239877,crocodile dundee
0,8995,crocodile dundee
0,47964,crocodile dundee
4,603,matrix
3,604,matrix
3,605,matrix
2,55931,matrix
0,1857,matrix
0,10999,matrix
0,4247,matrix
0,21874,matrix
0,181886,matrix
0,21208,matrix
0,125607,matrix
0,56441,matrix
0,124080,matrix
0,1487,matrix
0,72867,matrix
0,11253,matrix
0,213110,matrix
0,13805,matrix
0,104221,matrix
0,183894,matrix
0,3573,matrix
0,12254,matrix
0,17813,matrix
1,73262,matrix
0,17960,matrix
0,33068,matrix
0,28377,matrix
0,13300,matrix
0,680,matrix
0,28131,matrix
0,37988,matrix
0,18451,matrix
0,75404,matrix
4,686,contact
1,7011,contact
1,20236,contact
1,31337,contact
1,199,contact
1,21136,contact
1,109572,contact
1,68730,contact
1,340676,contact
1,364433,contact
1,289318,contact
1,15990,contact
1,775,contact
1,22379,contact
0,101609,contact
0,2153,contact
0,339403,contact
0,103,contact
0,9677,contact
0,38187,contact
1,157336,contact
0,11504,contact
0,37910,contact
1,2164,contact
1,26978,contact
